timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.000,0.0
4,0.000,0.000,0.0
5,0.000,0.000,0.0
6,0.000,0.000,0.0
7,0.000,0.000,0.0
8,0.000,0.000,0.0
9,0.000,0.000,0.0
10,0.000,0.000,0.0
11,0.000,0.000,0.0
12,0.000,0.000,0.0
13,0.000,0.000,0.0
14,0.262,0.262,-0.0
15,0.411,0.412,-0.1
16,0.502,0.502,-0.0
17,0.720,0.721,-0.0
18,1.065,1.065,-0.0
19,1.318,1.319,-0.0
20,1.557,1.558,-0.0
21,1.665,1.665,-0.0
22,1.802,1.802,-0.0
23,1.928,1.929,-0.0
24,2.003,2.003,-0.0
25,2.028,2.028,-0.0
26,2.039,2.039,-0.0
27,2.042,2.042,-0.0
28,2.053,2.053,0.0
29,2.049,2.049,-0.0
