timestamp,odom_dist,truth_dist,drift_percent
1,0.820,0.821,-0.0
2,1.904,1.904,-0.0
3,3.020,3.021,-0.0
4,4.143,4.144,-0.0
5,5.139,5.139,-0.0
6,5.972,5.972,-0.0
7,6.792,6.792,-0.0
8,7.542,7.529,0.2
9,8.258,8.275,-0.2
10,9.067,9.067,-0.0
11,9.799,9.799,0.0
12,10.501,10.500,0.0
13,11.210,11.209,0.0
14,12.287,12.287,0.0
15,13.155,13.155,0.0
16,14.038,14.037,0.0
17,15.146,15.146,0.0
18,16.267,16.266,0.0
19,17.386,17.386,0.0
20,18.448,18.448,0.0
21,19.408,19.407,0.0
22,20.368,20.367,0.0
23,21.328,21.327,0.0
24,22.288,22.287,0.0
25,23.248,23.248,0.0
26,24.161,24.160,0.0
27,25.074,25.073,0.0
28,25.978,25.977,0.0
29,26.888,26.887,0.0
30,27.792,27.792,0.0
31,28.700,28.700,0.0
32,29.614,29.613,0.0
33,30.520,30.520,0.0
