timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.000,0.0
4,0.000,0.000,0.0
5,0.000,0.000,0.0
6,0.297,0.297,-0.0
7,1.382,1.382,-0.0
8,2.192,2.192,-0.0
9,2.610,2.610,-0.0
10,2.691,2.691,-0.0
11,2.775,2.775,0.0
12,2.790,2.790,0.0
13,2.790,2.790,0.0
14,2.782,2.782,0.0
15,2.521,2.520,0.0
16,2.226,2.226,0.0
17,1.723,1.722,0.1
18,1.299,1.298,0.1
19,1.034,1.032,0.2
20,0.821,0.819,0.2
21,0.802,0.801,0.2
22,0.990,0.990,0.1
23,1.724,1.724,-0.0
24,2.233,2.233,-0.0
25,2.449,2.449,0.0
26,2.656,2.656,0.0
27,2.656,2.656,0.0
28,2.656,2.656,0.0
