timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.002,0.0
10,0.000,0.002,0.0
11,0.000,0.002,0.0
12,0.264,0.266,-0.9
13,0.564,0.566,-0.5
14,0.864,0.867,-0.3
15,1.005,1.008,-0.3
16,1.005,1.009,-0.4
17,1.005,1.009,-0.4
18,1.005,1.017,-1.1
19,1.005,1.021,-1.5
20,1.005,1.087,-7.5
21,1.005,1.100,-8.7
22,1.005,1.100,-8.7
23,1.005,1.100,-8.6
24,1.005,1.100,-8.6
25,1.005,1.100,-8.6
26,0.804,1.105,-27.2
27,0.504,1.101,-54.2
28,0.501,1.097,-54.4
29,0.501,1.097,-54.4
30,0.501,1.097,-54.3
31,0.501,1.097,-54.3
32,0.501,1.097,-54.3
33,0.501,1.096,-54.3
34,0.501,1.096,-54.3
35,0.501,1.096,-54.3
36,0.501,1.096,-54.3
37,0.501,1.096,-54.3
38,0.501,1.095,-54.3
39,0.501,1.095,-54.3
40,0.501,1.095,-54.3
41,0.501,1.095,-54.3
42,0.501,1.095,-54.2
43,0.501,1.094,-54.2
44,0.501,1.094,-54.2
45,0.501,1.094,-54.2
46,0.501,1.094,-54.2
47,0.501,1.094,-54.2
48,0.501,1.093,-54.2
49,0.501,1.093,-54.2
50,0.501,1.093,-54.2
51,0.501,1.093,-54.2
52,0.501,1.092,-54.2
53,0.501,1.092,-54.1
54,0.501,1.092,-54.1
55,0.501,1.092,-54.1
56,0.501,1.092,-54.1
57,0.501,1.091,-54.1
58,0.501,1.091,-54.1
59,0.501,1.091,-54.1
60,0.501,1.091,-54.1
61,0.501,1.091,-54.1
62,0.501,1.090,-54.1
63,0.501,1.090,-54.1
64,0.501,1.090,-54.1
65,0.501,1.090,-54.0
66,0.501,1.090,-54.0
67,0.501,1.089,-54.0
68,0.501,1.089,-54.0
69,0.501,1.089,-54.0
70,0.501,1.089,-54.0
71,0.501,1.089,-54.0
72,0.501,1.088,-54.0
73,0.501,1.088,-54.0
74,0.501,1.088,-54.0
75,0.501,1.088,-54.0
76,0.501,1.088,-53.9
77,0.501,1.087,-53.9
78,0.501,1.087,-53.9
79,0.501,1.087,-53.9
80,0.501,1.087,-53.9
81,0.501,1.087,-53.9
82,0.501,1.086,-53.9
83,0.501,1.086,-53.9
84,0.501,1.086,-53.9
85,0.501,1.086,-53.9
86,0.501,1.086,-53.9
87,0.501,1.085,-53.9
88,0.501,1.085,-53.8
89,0.501,1.085,-53.8
90,0.501,1.085,-53.8
91,0.501,1.084,-53.8
92,0.501,1.084,-53.8
93,0.501,1.084,-53.8
94,0.501,1.084,-53.8
95,0.501,1.084,-53.8
96,0.501,1.083,-53.8
97,0.501,1.083,-53.8
98,0.501,1.083,-53.8
99,0.501,1.083,-53.8
100,0.501,1.083,-53.7
101,0.501,1.082,-53.7
102,0.501,1.082,-53.7
103,0.501,1.082,-53.7
104,0.501,1.082,-53.7
105,0.501,1.082,-53.7
106,0.501,1.081,-53.7
107,0.501,1.081,-53.7
108,0.501,1.081,-53.7
