timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.002,0.0
6,0.000,0.003,0.0
7,0.000,0.003,0.0
8,0.026,0.004,0.0
9,0.326,0.005,0.0
10,0.506,0.006,0.0
11,0.506,0.007,0.0
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.002,0.0
6,0.000,0.003,0.0
7,0.000,0.003,0.0
8,0.000,0.004,0.0
9,0.000,0.004,0.0
10,0.000,0.005,0.0
11,0.069,0.006,0.0
12,0.369,0.007,0.0
13,0.503,0.007,0.0
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.002,0.0
6,0.000,0.003,0.0
7,0.000,0.003,0.0
8,0.000,0.004,0.0
9,0.000,0.004,0.0
10,0.000,0.005,0.0
11,0.183,0.006,0.0
12,0.483,0.007,0.0
13,0.502,0.007,0.0
