timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.222,0.005,0.0
10,0.522,0.010,0.0
11,0.822,0.014,5625.3
12,1.005,0.017,5759.3
13,1.005,0.213,371.1
14,1.005,1.532,-34.4
15,1.005,2.615,-61.5
16,1.005,3.872,-74.0
17,1.005,4.061,-75.2
18,1.005,4.068,-75.3
19,1.005,4.061,-75.2
20,1.005,4.063,-75.3
21,0.928,4.065,-77.2
22,0.628,4.068,-84.6
23,0.498,4.070,-87.8
24,0.498,4.072,-87.8
25,0.498,4.074,-87.8
26,0.498,4.076,-87.8
27,0.498,4.078,-87.8
28,0.498,4.080,-87.8
29,0.498,4.082,-87.8
30,0.498,4.084,-87.8
31,0.498,4.086,-87.8
32,0.498,4.088,-87.8
33,0.498,4.090,-87.8
34,0.498,4.091,-87.8
35,0.498,4.093,-87.8
36,0.498,4.095,-87.8
37,0.498,4.097,-87.8
38,0.498,4.098,-87.9
39,0.498,4.100,-87.9
40,0.498,4.102,-87.9
41,0.498,4.103,-87.9
42,0.498,4.105,-87.9
43,0.498,4.107,-87.9
44,0.498,4.108,-87.9
45,0.498,4.110,-87.9
46,0.498,4.112,-87.9
47,0.498,4.113,-87.9
48,0.498,4.115,-87.9
49,0.498,4.116,-87.9
50,0.498,4.118,-87.9
51,0.498,4.119,-87.9
52,0.498,4.121,-87.9
53,0.498,4.122,-87.9
54,0.498,4.124,-87.9
55,0.498,4.125,-87.9
56,0.498,4.127,-87.9
57,0.498,4.128,-87.9
58,0.498,4.129,-87.9
59,0.498,4.131,-87.9
60,0.498,4.132,-88.0
61,0.498,4.134,-88.0
62,0.498,4.135,-88.0
63,0.498,4.136,-88.0
64,0.498,4.138,-88.0
65,0.498,4.139,-88.0
66,0.498,4.140,-88.0
67,0.498,4.141,-88.0
68,0.498,4.143,-88.0
69,0.498,4.144,-88.0
70,0.498,4.145,-88.0
71,0.498,4.146,-88.0
72,0.498,4.147,-88.0
73,0.498,4.148,-88.0
74,0.498,4.150,-88.0
75,0.498,4.151,-88.0
76,0.498,4.152,-88.0
77,0.498,4.153,-88.0
78,0.498,4.154,-88.0
79,0.498,4.155,-88.0
80,0.498,4.156,-88.0
81,0.498,4.157,-88.0
82,0.498,4.158,-88.0
83,0.498,4.159,-88.0
84,0.498,4.160,-88.0
85,0.498,4.161,-88.0
86,0.498,4.162,-88.0
87,0.498,4.163,-88.0
88,0.498,4.164,-88.0
89,0.498,4.165,-88.0
90,0.498,4.166,-88.1
91,0.498,4.167,-88.1
92,0.498,4.168,-88.1
93,0.498,4.169,-88.1
94,0.498,4.170,-88.1
95,0.498,4.171,-88.1
96,0.498,4.172,-88.1
97,0.498,4.173,-88.1
98,0.498,4.174,-88.1
99,0.498,4.175,-88.1
100,0.498,4.176,-88.1
101,0.498,4.177,-88.1
102,0.498,4.178,-88.1
103,0.498,4.179,-88.1
104,0.498,4.180,-88.1
105,0.498,4.181,-88.1
106,0.498,4.182,-88.1
107,0.498,4.182,-88.1
108,0.498,4.183,-88.1
109,0.498,4.184,-88.1
110,0.498,4.185,-88.1
111,0.498,4.186,-88.1
112,0.498,4.187,-88.1
113,0.498,4.188,-88.1
114,0.498,4.188,-88.1
115,0.498,4.189,-88.1
116,0.498,4.190,-88.1
