timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.000,0.0
4,0.000,0.000,0.0
5,0.000,0.000,0.0
6,0.464,0.443,4.8
7,1.320,1.320,0.0
8,1.826,1.826,0.0
9,1.991,1.990,0.0
10,2.151,2.151,0.0
11,2.175,2.175,0.0
12,2.175,2.175,0.0
13,2.174,2.174,0.0
14,2.073,2.073,0.0
15,1.995,1.995,0.0
16,1.956,1.956,0.0
17,1.874,1.873,0.0
18,1.260,1.260,0.0
19,0.816,0.816,-0.1
20,0.780,0.781,-0.1
21,1.035,1.035,-0.1
22,1.234,1.231,0.2
23,1.363,1.364,-0.0
24,0.962,0.962,-0.0
25,0.166,0.166,0.2
26,0.716,0.715,0.1
27,1.384,1.383,0.1
28,1.794,1.788,0.3
29,2.052,2.051,0.0
30,2.080,2.079,0.0
31,1.712,1.712,-0.0
32,1.728,1.729,-0.1
33,1.658,1.660,-0.1
34,1.649,1.650,-0.1
35,1.657,1.659,-0.1
36,1.657,1.659,-0.1
37,1.657,1.659,-0.1
