timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.000,0.0
4,0.000,0.000,0.0
5,0.211,0.211,-0.0
6,1.064,1.064,0.0
7,1.246,1.246,-0.0
8,1.614,1.614,-0.0
9,2.291,1.860,23.2
10,2.611,1.857,40.6
11,2.794,1.856,50.6
12,2.794,1.856,50.5
13,2.794,1.857,50.5
14,2.783,1.869,48.9
15,2.392,2.086,14.7
16,2.637,2.570,2.6
17,2.863,2.858,0.2
18,2.944,3.016,-2.4
19,2.944,3.016,-2.4
20,2.944,3.016,-2.4
21,2.944,3.016,-2.4
22,2.944,3.016,-2.4
23,2.944,3.016,-2.4
24,2.944,3.016,-2.4
25,2.944,3.016,-2.4
26,2.944,3.016,-2.4
27,2.944,3.016,-2.4
28,2.944,3.016,-2.4
29,2.860,2.726,4.9
30,2.670,2.300,16.1
31,2.165,2.152,0.6
32,1.959,1.884,4.0
33,1.732,1.799,-3.7
34,1.728,1.800,-4.0
35,1.728,1.800,-4.0
36,1.728,1.800,-4.0
37,1.728,1.800,-4.0
38,1.728,1.800,-4.0
39,1.725,1.804,-4.4
40,1.062,1.852,-42.7
41,0.143,1.826,-92.2
42,0.719,1.838,-60.9
43,1.235,1.845,-33.1
44,1.443,1.843,-21.7
45,1.630,1.842,-11.5
46,1.638,1.838,-10.9
47,1.638,1.835,-10.7
48,1.638,1.833,-10.6
49,1.640,1.786,-8.2
50,1.626,1.903,-14.5
51,1.747,1.922,-9.1
52,1.880,1.926,-2.4
53,2.029,1.930,5.1
54,2.035,1.929,5.5
55,2.035,1.927,5.6
