timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.000,0.0
4,0.000,0.000,0.0
5,0.000,0.000,0.0
6,0.000,0.000,0.0
7,0.209,0.186,12.3
8,0.681,0.367,85.8
9,0.815,0.326,149.7
10,1.288,0.354,264.2
11,1.627,0.438,271.3
12,1.756,0.476,269.0
13,1.756,0.479,266.2
14,1.756,0.480,265.8
15,1.756,0.481,265.1
16,1.756,0.482,264.3
17,1.756,0.483,263.5
18,1.756,0.486,261.0
19,1.645,0.807,103.9
20,1.767,1.235,43.1
21,1.811,1.413,28.2
22,1.917,1.572,22.0
23,1.917,1.572,22.0
24,1.917,1.572,22.0
25,1.876,1.563,20.0
26,1.475,1.465,0.7
27,1.322,1.541,-14.2
28,1.220,1.573,-22.5
29,1.220,1.573,-22.5
30,1.220,1.573,-22.5
31,1.220,1.573,-22.5
32,1.220,1.573,-22.5
33,1.221,1.573,-22.4
34,1.445,1.502,-3.8
35,1.827,1.706,7.1
36,2.084,1.861,12.0
37,2.242,1.944,15.3
38,2.242,1.944,15.3
