timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.002,0.0
10,0.000,0.002,0.0
11,0.000,0.005,0.0
12,0.000,0.041,-100.0
13,0.000,0.038,-100.0
14,0.000,0.084,-100.0
15,0.000,0.089,-100.0
16,0.000,0.088,-100.0
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.002,0.0
10,0.000,0.002,0.0
11,0.000,0.002,0.0
12,0.000,0.028,-100.0
13,0.000,0.045,-100.0
14,0.000,0.101,-100.0
15,0.000,0.108,-100.0
16,0.000,0.108,-100.0
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.002,0.0
10,0.000,0.002,0.0
11,0.000,0.002,0.0
12,0.000,0.038,-100.0
13,0.000,0.053,-100.0
14,0.000,0.111,-100.0
15,0.000,0.116,-100.0
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.002,0.0
10,0.000,0.002,0.0
11,0.000,0.002,0.0
12,0.000,0.029,-100.0
13,0.000,0.047,-100.0
14,0.000,0.054,-100.0
15,0.000,0.095,-100.0
16,0.000,0.095,-100.0
17,0.000,0.095,-100.0
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.002,0.0
10,0.000,0.002,0.0
11,0.000,0.006,0.0
12,0.000,0.044,-100.0
13,0.000,0.047,-100.0
14,0.000,0.108,-100.0
15,0.000,0.108,-100.0
16,0.000,0.108,-100.0
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.002,0.0
10,0.000,0.002,0.0
11,0.000,0.002,0.0
12,0.000,0.043,-100.0
13,0.000,0.042,-100.0
14,0.000,0.099,-100.0
15,0.000,0.106,-100.0
16,0.000,0.106,-100.0
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.002,0.0
10,0.000,0.002,0.0
11,0.000,0.033,-100.0
12,0.000,0.043,-100.0
13,0.000,0.073,-100.0
14,0.000,0.105,-100.0
15,0.000,0.104,-100.0
1,0.000,0.000,0.0
2,0.000,0.000,0.0
