timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.000,0.0
4,0.000,0.000,0.0
5,0.652,0.652,-0.0
6,1.333,1.342,-0.6
7,1.785,1.798,-0.7
8,2.014,2.025,-0.5
9,2.151,2.160,-0.4
10,2.212,2.221,-0.4
11,2.212,2.221,-0.4
12,2.020,2.033,-0.6
13,1.359,1.382,-1.7
14,1.100,1.131,-2.8
15,0.987,1.020,-3.2
16,0.925,0.957,-3.4
17,0.874,0.906,-3.5
18,0.817,0.850,-3.9
19,1.186,1.213,-2.2
20,1.475,1.495,-1.3
21,1.601,1.617,-1.0
22,1.729,1.741,-0.7
23,1.729,1.741,-0.7
24,1.729,1.741,-0.7
25,1.293,1.298,-0.4
26,1.134,1.110,2.1
27,1.217,1.186,2.6
28,1.103,1.070,3.1
29,1.078,1.045,3.1
30,1.089,1.058,2.9
31,1.089,1.058,2.9
