timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.039,-100.0
10,0.000,0.046,-100.0
11,0.000,0.088,-100.0
12,0.000,0.109,-100.0
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.027,-100.0
10,0.000,0.045,-100.0
11,0.000,0.040,-100.0
12,0.000,0.066,-100.0
13,0.000,0.066,-100.0
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.035,-100.0
10,0.000,0.045,-100.0
11,0.000,0.069,-100.0
12,0.000,0.097,-100.0
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.026,-100.0
10,0.000,0.044,-100.0
11,0.000,0.039,-100.0
12,0.000,0.066,-100.0
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.025,-100.0
10,0.000,0.048,-100.0
11,0.000,0.070,-100.0
12,0.000,0.111,-100.0
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.014,-100.0
10,0.000,0.044,-100.0
11,0.000,0.044,-100.0
12,0.000,0.103,-100.0
13,0.000,0.103,-100.0
