timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.000,0.0
4,0.000,0.000,0.0
5,0.000,0.000,0.0
6,0.000,0.000,0.0
7,0.000,0.000,0.0
8,0.000,0.000,0.0
9,0.000,0.000,0.0
10,0.000,0.000,0.0
11,0.000,0.000,0.0
12,0.000,0.000,0.0
13,0.000,0.000,0.0
14,0.000,0.000,0.0
15,0.039,0.031,27.8
16,0.887,0.887,0.0
17,1.667,1.667,0.0
18,2.502,2.502,0.0
19,2.855,2.855,-0.0
20,2.988,2.988,-0.0
21,3.082,3.082,0.0
22,2.854,2.854,-0.0
23,2.086,2.086,-0.0
24,1.430,1.430,-0.0
25,1.056,1.056,-0.1
26,1.089,1.089,-0.1
27,1.844,1.788,3.1
28,2.543,1.906,33.4
29,2.935,2.013,45.8
30,3.166,2.061,53.6
31,3.265,2.093,56.0
32,3.265,2.094,55.9
33,3.265,2.096,55.8
34,3.265,2.097,55.7
35,3.265,2.098,55.6
36,3.265,2.100,55.5
37,3.265,2.101,55.4
38,3.265,2.100,55.5
39,3.265,2.099,55.5
40,3.265,2.099,55.6
41,3.265,2.098,55.6
42,3.265,2.097,55.7
43,3.265,2.097,55.7
44,3.265,2.096,55.8
45,3.265,2.095,55.8
46,3.265,2.094,55.9
47,3.265,2.093,56.0
48,3.265,2.092,56.0
49,3.265,2.091,56.1
50,3.265,2.090,56.2
51,3.265,2.089,56.3
52,3.265,2.088,56.4
53,3.265,2.087,56.5
54,3.265,2.085,56.5
55,3.265,2.084,56.6
56,3.265,2.083,56.7
