timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.002,0.0
6,0.000,0.003,0.0
7,0.000,0.003,0.0
8,0.000,0.004,0.0
9,0.000,0.004,0.0
10,0.000,0.005,0.0
11,0.000,0.006,0.0
12,0.065,0.006,0.0
13,0.365,0.005,0.0
14,0.665,0.001,0.0
15,0.965,0.007,0.0
16,1.005,0.017,5916.3
17,1.005,0.025,3895.3
18,1.005,0.033,2968.3
19,1.005,0.040,2410.4
20,1.005,0.047,2016.1
21,1.005,0.050,1899.5
22,1.005,0.050,1909.2
23,1.005,0.050,1926.8
24,1.005,0.049,1941.4
25,0.825,0.049,1598.7
26,0.525,0.047,1012.0
27,0.498,0.046,982.1
28,0.498,0.045,998.8
29,0.498,0.045,1012.1
30,0.498,0.044,1024.4
31,0.498,0.044,1037.3
32,0.498,0.043,1051.4
33,0.498,0.043,1068.3
