timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.000,0.0
4,0.000,0.000,0.0
5,0.025,0.025,-0.1
6,0.533,0.532,0.0
7,0.932,0.932,-0.0
8,1.066,1.066,-0.0
9,1.312,1.312,-0.0
10,1.497,1.497,-0.0
11,1.497,1.497,-0.0
12,1.542,1.542,0.0
13,1.472,1.472,-0.0
14,0.792,0.792,-0.0
15,0.683,0.683,-0.1
16,1.246,1.247,-0.1
17,0.768,0.768,-0.1
18,1.278,1.278,-0.0
19,1.796,1.795,0.0
20,1.986,1.986,0.0
21,2.083,2.083,0.0
22,2.083,2.083,0.0
23,2.083,2.083,0.0
24,2.083,2.083,0.0
25,2.083,2.083,0.0
26,2.083,2.083,0.0
27,2.083,2.083,0.0
28,2.083,2.083,0.0
29,2.083,2.083,0.0
30,2.083,2.083,0.0
31,2.083,2.083,0.0
32,2.083,2.083,0.0
33,2.083,2.083,0.0
34,2.083,2.083,0.0
35,2.083,2.083,0.0
36,2.083,2.083,0.0
37,2.083,2.083,0.0
38,2.083,2.083,0.0
39,2.083,2.083,0.0
40,2.083,2.083,0.0
41,2.083,2.083,0.0
42,2.083,2.083,0.0
