timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.000,0.0
4,0.000,0.000,0.0
5,0.000,0.000,0.0
6,0.000,0.000,0.0
7,0.000,0.000,0.0
8,0.000,0.000,0.0
9,0.000,0.000,0.0
10,0.000,0.000,0.0
11,0.000,0.000,0.0
12,0.205,0.205,0.0
13,0.659,0.659,0.0
14,0.769,0.769,-0.0
15,0.951,0.951,-0.0
16,1.166,1.166,-0.0
17,1.228,1.228,-0.0
18,1.228,1.228,-0.0
19,1.265,1.266,-0.0
20,1.237,1.237,-0.0
21,1.476,1.476,-0.0
22,1.720,1.720,-0.0
23,1.796,1.797,-0.0
24,1.834,1.834,-0.0
25,1.834,1.834,-0.0
26,1.834,1.834,-0.0
27,1.834,1.834,-0.0
28,1.771,1.771,-0.0
29,1.405,1.406,-0.1
30,1.662,1.663,-0.0
31,2.151,2.152,-0.0
32,2.417,2.418,-0.0
33,2.502,2.503,-0.0
34,2.474,2.474,-0.0
35,2.426,2.426,-0.0
36,2.214,2.215,-0.0
37,1.844,1.845,-0.0
38,1.714,1.714,-0.0
39,2.126,2.126,-0.0
40,2.005,2.005,-0.0
41,2.149,2.149,0.0
42,2.281,2.281,0.0
43,2.286,2.286,0.0
44,2.286,2.286,0.0
45,2.286,2.286,0.0
46,2.286,2.286,0.0
47,2.286,2.286,0.0
48,2.286,2.286,0.0
49,2.286,2.286,0.0
50,2.286,2.286,0.0
51,2.286,2.286,0.0
