timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.000,0.0
4,0.000,0.000,0.0
5,0.000,0.000,0.0
6,0.000,0.000,0.0
7,0.039,0.039,-0.0
8,0.544,0.545,-0.0
9,0.896,0.896,0.0
10,1.113,1.113,0.0
11,1.237,1.237,0.0
12,1.255,1.254,0.0
13,1.117,1.117,0.0
14,1.429,1.429,0.0
15,1.926,1.846,4.3
16,2.027,1.846,9.8
17,2.175,1.864,16.7
18,2.175,1.867,16.5
19,2.175,1.870,16.3
20,2.175,1.873,16.2
21,2.167,1.865,16.2
22,2.144,1.878,14.1
23,2.370,2.125,11.5
24,2.503,2.280,9.8
25,2.513,2.295,9.5
26,2.513,2.297,9.4
27,2.513,2.300,9.3
