timestamp,odom_dist,truth_dist,drift_percent
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.002,0.0
10,0.000,0.002,0.0
11,0.000,0.002,0.0
12,0.168,0.004,0.0
13,0.468,0.036,1182.0
14,0.505,0.037,1257.3
15,0.505,0.037,1249.6
1,0.000,0.000,0.0
2,0.000,0.000,0.0
3,0.000,0.001,0.0
4,0.000,0.001,0.0
5,0.000,0.001,0.0
6,0.000,0.001,0.0
7,0.000,0.001,0.0
8,0.000,0.002,0.0
9,0.000,0.002,0.0
10,0.000,0.002,0.0
11,0.000,0.002,0.0
12,0.284,0.019,1382.5
13,0.508,0.059,761.5
14,0.508,0.059,758.4
