timestamp,pos_x,pos_y,yaw,v_x,v_y,w_z
1776572181.0173292,3.8608818096667796e-19,4.512015721656974e-20,2.770038004990475e-19,-0.07291291817734422,-0.06244762896110556,1.2
1776572181.2428942,3.815085109900993e-19,4.2205821776928697e-20,2.580795443974822e-19,-0.024348948976430387,-0.003957989206888413,1.2
1776572181.2499597,3.815085109900993e-19,4.2205821776928697e-20,2.580795443974822e-19,0.0165208408188557,0.044833608634489285,1.2
1776572181.3401034,4.073211963126342e-19,3.887515270305324e-20,2.656492468381082e-19,0.04737569637151721,0.08230768326587316,1.2
1776572181.557399,4.0378236042164156e-19,3.408731590935724e-20,2.4199392671115184e-19,0.07390055709721378,0.11384614661269855,1.2
1776572181.6171412,3.9941085726218e-19,3.4711816360708894e-20,2.2969316024513433e-19,0.09512044567777105,0.13907691729015886,1.2
1776572181.8327174,-0.0002910510566075874,-0.00025048951925719606,0.004799999998789923,0.11103983003870514,0.15882531208256914,1.2
1776572181.9231324,-0.005292643312662586,-0.0047269797216905425,0.10079999999879012,0.14610909877987371,0.19280080015565534,1.2
1776572182.1039917,-0.0037311994114724435,-0.00034441763858614053,0.1727999999987904,0.17529619898850707,0.21400612749278622,1.2
1776572182.206864,-0.002068669992466511,0.004089790022690884,0.22079999999879052,0.20533793127638636,0.2282967258303516,1.2
1776572182.377692,-0.0009046966128485549,0.007147231419669779,0.24479999999879054,0.22270053676465473,0.23314458807769914,1.2
1776572182.4431744,0.0022928728725845637,0.01681568645628537,0.3167999999987899,0.25750727694181974,0.24399869514166306,1.186964062982268
1776572182.526013,0.0046924050710460356,0.024991972249279917,0.36479999999878976,0.2745787772608216,0.24375393651593966,1.0778848490595476
1776572182.5950885,0.005990746604085971,0.029652572276700852,0.3887999999987897,0.2993298762712118,0.2408425278967181,1.022003660141416
1776572182.7383928,0.009674968014305526,0.04465822444818918,0.4607999999987899,0.333118635944805,0.23880613355083014,0.8499138356791379
1776572182.928702,0.010967261512783771,0.050224638419430374,0.4847999999987898,0.33372751574325127,0.2277317251079123,0.7908011214017693
1776572182.9882388,0.01612761627533492,0.07461339903237453,0.58079999999879,0.3713682748353911,0.21605833148629897,0.5452637392261723
1776572183.1213844,0.020637486841461147,0.09566789484404814,0.64875208269248,0.3691171645584057,0.1959439924795016,0.35879706911600917
1776572183.225002,0.024051810849940732,0.11065038798055765,0.6896322290981365,0.3969091345310066,0.1695218622777967,0.2265510552699188
1776572183.3946853,0.025664468599500275,0.11829269759151932,0.7092118531788268,0.3677210347383565,0.15124171438774778,0.17187293728775033
1776572183.4719083,0.03088952851556314,0.14232090437747735,0.7602066833195739,0.3952442592710334,0.12238244639108653,0.0189283717708848
1776572183.555065,0.03249149722327727,0.15026467766341794,0.7762591566047784,0.4161464710351736,0.09633505333377433,-0.03127150735315887
1776572183.6540267,0.036622262503532794,0.16678417466695727,0.7995429304671258,0.35786977350634336,0.08428343238947775,-0.11483378488791351
1776572183.7914202,0.043019991078077316,0.19128106640293147,0.8249865546865868,0.38372473245339067,0.05601265881712449,-0.2239172584992828
1776572183.9918492,0.04574080441633878,0.19941045826222584,0.8300465598475032,0.3172866632698188,0.0645077437393223,0.03330339823641015
1776572184.0510428,0.057164568036805516,0.23095314602018568,0.8444762534717094,0.3537519397031523,0.04937379997134352,-0.04454966630387802
1776572184.2186277,0.06878312790992935,0.25322278084437344,0.8429351498298402,0.2191767837756016,0.06745540070066074,-0.0691809006273536
1776572184.315243,0.07581902549993867,0.2661369172714178,0.8383417984343237,0.2751720828052362,0.05013776521264323,-0.07646246323158667
1776572184.5104263,0.07970541372847678,0.27258314102558456,0.8350633714741736,0.11457949208561254,0.07929201763462189,-0.07733918621043245
1776572184.5869734,0.09279513403893963,0.2918192164237483,0.82162833596422,0.1915571513172599,0.059981319290305625,-0.06928862087317378
1776572184.6682518,0.10040851262087909,0.30333167688796975,0.8205302341048284,0.000750705591065961,0.0960760266495075,-0.0800690646950164
1776572184.7238913,0.10451276959641652,0.309178586677738,0.8196392407787506,0.10042254227205255,0.07263909950062433,-0.0843977263343525
1776572184.8419983,0.1135970311936866,0.3240359756160552,0.8162026925365148,0.18013216477642238,0.05366171151952658,-0.08899296177712657
1776572185.023624,0.11633383172231392,0.3285566411034502,0.8147171326475159,-0.008259233422638596,0.09123827196756536,-0.09100871809984801
1776572185.110972,0.1251093251327835,0.34232256824767976,0.8101267546846866,0.0931611050476884,0.06816665025459018,-0.0964427832659478
1776572185.2084844,0.12554254909983056,0.3450754919794285,0.8085799709604777,-0.07775969152859702,0.10296719669469738,-0.09991107440797409
1776572185.4247577,0.12726717804039603,0.3576474804850284,0.8006690713163866,0.0374853996292961,0.07657904295969403,-0.11546047381386715
1776572185.7239065,0.13075476586669937,0.36430782230653813,0.7971093528453038,-0.1223946436757604,0.1091160810340001,-0.11854501580757293
1776572185.7347047,0.13075476586669937,0.36430782230653813,0.7971093528453038,0.001733373273607935,0.08137948681653885,-0.11854501580757293
1776572185.8159406,0.13057945966778048,0.37262134258658436,0.789760902424261,-0.1510999988906078,0.11242307178766041,-0.12925081098403757
1776572185.8890882,0.128602664300135,0.3733566287363132,0.7877765541006722,-0.021306198023036075,0.08330701931833905,-0.13280889477533653
1776572185.9938438,0.12123685341559313,0.3746182899164774,0.7817352414379904,0.08244411151075517,0.05944435475834879,-0.14400529925968808
1776572186.2096462,0.12015040624075143,0.37785106270026636,0.7771168224854349,-0.08677013367373489,0.09379421634022607,-0.1474582851663544
1776572186.2674665,0.1179702254077802,0.382336047298921,0.770173771346636,0.030014194416743314,0.06739861392724257,-0.153017701734256
1776572186.3780339,0.11444254643810074,0.3838903690500669,0.7653249127625776,-0.129745015719647,0.09636504753955143,-0.1571618069477858
1776572186.5555499,0.10824712165610711,0.3855257829567026,0.7574133084167203,-0.004430651049516125,0.06901186213756344,-0.16201235359468802
1776572186.7495878,0.10863128207606457,0.38752195004620016,0.7545332024315385,-0.15814037682325086,0.09437134551704474,-0.16150834697334715
1776572186.8281167,0.10815668702183526,0.3942447618047482,0.7429644366880751,-0.02716066388245659,0.06749888914552132,-0.1607036122722998
1776572186.9535449,0.10538321538555265,0.39762945291221324,0.7338112734957192,-0.17654789954072514,0.09231083127317272,-0.1599966209987902
1776572187.0544994,0.09894579706382747,0.39703658353072246,0.7275248012178086,-0.04187955108046667,0.06582357116106723,-0.16113082919929234
1776572187.3204808,0.09519413842054583,0.39798225728149056,0.7211219158203778,-0.17826688502347154,0.11058107013094513,0.40190445709397227
1776572187.3263886,0.09519413842054583,0.39798225728149056,0.7211219158203778,-0.04659762333863026,0.1080234439142943,0.40190445709397227
1776572187.4271338,0.08672219739023677,0.3990964970617791,0.7081832987232183,-0.16249852073538587,0.14334258630552618,0.39859722324428937
1776572187.4989953,0.0854325849955644,0.39977060293476574,0.7049692264777713,-0.033923557190726046,0.13410812332425243,0.39940228191301497
1776572187.6048553,0.07727373276013096,0.39927675969789594,0.6953503404534582,0.06900075548424008,0.12657059164144083,0.3948911824033101
1776572187.8064613,0.0750655477392807,0.3993580820375255,0.6921345291186772,-0.04656168194949548,0.16297934325889932,0.3944571444641589
1776572187.8748603,0.0706175707001825,0.4008165850846222,0.6824666793667202,0.0588730876024744,0.14967934743069672,0.39689193755770735
1776572187.9401093,0.06870520906378684,0.4011887055014517,0.68149620392734,0.14332338405372863,0.13891175612566176,0.39222924592490016
1776572188.1221874,0.05972392939314638,0.40329816235302024,0.7055260933902252,0.01585483517340917,0.17946272214407671,0.3125734082696723
1776572188.1895103,0.05526938500468296,0.40652811103949565,0.7214976735672423,0.11105611839495129,0.15695611895545644,0.259663519335781
1776572188.3901145,0.05462240349713942,0.40933771230858734,0.7293954972153077,-0.021854826082261324,0.21065172156973702,0.2348999822114115
1776572188.453517,0.051236585440936976,0.4171081101444517,0.753083759704235,0.08182801551824231,0.17702205607839092,0.15785236500755495
1776572188.526992,0.04960674401828461,0.4197802668221975,0.7610094244899188,-0.0442886443213526,0.2321632689523131,0.1303799805636081
1776572188.6418657,0.04967064923083121,0.4315489091113221,0.7845618300119478,0.06443789767566335,0.18866595470602346,0.052085563209345986
1776572188.7597382,0.047142748515699294,0.43815499606881125,0.7984985714206089,0.15156776973529268,0.15093138559374428,-0.0010511019149870293
1776572188.9648447,0.04545732112869747,0.44555267371038065,0.8090438418608971,0.010373893283552257,0.21089969480546905,-0.04756033838055451
1776572189.014669,0.03996857805781949,0.45538601872215434,0.8238257058215055,0.10792315816569363,0.16244493256797826,-0.12060753417362946
1776572189.1609418,0.030808125240488107,0.4641190711211768,0.832280369497559,-0.006693358128632085,0.20913971738306217,-0.1881835837521293
1776572189.2586539,0.02568611318746931,0.4704838999692058,0.835303325034263,0.09337412638775826,0.15572479148092985,-0.22693602167897264
1776572189.5325081,0.023369028206103565,0.4781643318394598,0.8364302875904532,-0.016333526034796257,0.2241681257557379,0.04871782013792281
1776572189.540794,0.023369028206103565,0.4781643318394598,0.8364302875904532,0.08687385525699101,0.18176942815798677,0.04871782013792281
1776572189.6344376,0.018923946392369814,0.4977773471810559,0.8326186567684919,-0.01869365066039497,0.23912296181761555,-0.02196579742464344
1776572189.7098997,0.017977830607032126,0.501561414201859,0.830206506085019,0.08501888630188566,0.18963064143864797,-0.03306836081443243
1776572189.8191793,0.012758417559041458,0.5075586030789448,0.8233549232307857,-0.015770371588853815,0.24262784975549972,-0.05797380017086362
1776572189.9911911,0.011107509944357588,0.5108253526799434,0.8190487174248064,0.08727540566902896,0.19076327365808393,-0.06632489880923842
1776572190.0974426,0.007235312826373904,0.524825406189664,0.8008938356904892,0.16956768459795327,0.14789074869450222,-0.09291511970082
1776572190.2150128,0.004394363904995962,0.5321044506272437,0.7998103562357414,0.07108759161903332,0.19865978701212597,-0.10137942593416915
1776572190.3887992,-0.0053454837295471985,0.5461954063181158,0.7980263941352971,-0.008108959163302672,0.24339331476363754,-0.1608341772972708
1776572190.6758847,-0.012727194437960252,0.5525276625973031,0.7957074421284629,0.09331904080410743,0.19939347079805475,0.08454091705131805
1776572190.6844287,-0.012727194437960252,0.5525276625973031,0.7957074421284629,0.17447665987235367,0.1637367890565578,0.08454091705131805
1776572190.7644553,-0.01832335476289446,0.5682885519795006,0.7897973557906708,0.0882661014270199,0.21915644528727463,0.03238771981463806
1776572190.844122,-0.01845413519814688,0.5726430366364104,0.7879051961717303,0.17060493212294517,0.1764646605154048,0.022555185847517034
